nuts_cd,nuts_name,national_capacity_mwp,year,country_cd,capacity_mwp,regional_capacity_percentage,112_percentage,142_percentage,211_percentage,11_percentage,13_percentage,14_percentage,21_percentage,1_percentage,2_percentage,gva_pounds_million_75_percentage,set,predicted_capacity_percentage,predicted_capacity_mwp
UKK14,Swindon,1778.962003071035,2012,UK,25.015443240884693,1.4061819868946246,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.6044578768417076,train,1.1989206,21.328342055602363
UKK14,Swindon,2891.71726542994,2013,UK,26.372320808237845,0.9119951360222908,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.6181318681318682,train,1.0761036,31.11787245654304
UKK14,Swindon,5364.097717529403,2014,UK,65.249178375591,1.216405476029312,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.695970695970696,train,1.1207002,60.11545500229736
UKK14,Swindon,9543.595741939756,2015,UK,106.728868375591,1.1183297287684373,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.6856359273225917,train,1.0433614,99.57419656749538
UKK14,Swindon,11630.79190706653,2016,UK,178.71484594294415,1.5365664468157345,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.7046568627450981,train,1.2355132,143.6999696073569
UKK14,Swindon,12445.34457706653,2017,UK,189.99889594294416,1.526666415432657,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,1.0893246187363834,train,1.4317678,178.18843983308088
UKK14,Swindon,12668.58902706653,2018,UK,192.8039359429441,1.521905363975555,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,1.8076644974692695,train,1.4225292,180.21437838563793
UKK14,Swindon,13024.98032544212,2019,UK,193.4377059429441,1.485128584533029,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,1.5719467956469164,train,1.4252859,185.64321024130166
UKK14,Swindon,13421.966133009471,2020,UK,193.64482594294407,1.4427456009347348,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,1.6458970138725604,train,1.4225292,190.93138771851676
UKK14,Swindon,13967.18983814418,2021,UK,194.2302059429441,1.390617641728506,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,1.6918789808917196,test,1.4225292,198.68735414003686
UKK14,Swindon,14995.53681814418,2022,UK,197.8624559429441,1.3194756436030757,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,1.4838279426475491,test,1.427237,214.02185545089233
UKK14,Swindon,16750.745028144178,2023,UK,202.29070594294413,1.2076519916162558,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,,test,1.1202306,187.64696408492418
UKL22,Cardiff and Vale of Glamorgan,79.78610239266125,2010,UK,0.3441554041189261,0.4313475577804156,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.5356407086938607,train,0.6122632,0.48850093984814036
UKL22,Cardiff and Vale of Glamorgan,993.6314671996508,2011,UK,5.102786279709926,0.5135491827861588,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.4767580452920142,train,0.65001625,6.45876615085623
UKL22,Cardiff and Vale of Glamorgan,1778.962003071035,2012,UK,8.864158981769382,0.4982770270791124,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.3777861730260672,train,0.66646117,11.8560912727579
UKL22,Cardiff and Vale of Glamorgan,2891.71726542994,2013,UK,11.012102761479316,0.3808153339583853,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.4120879120879121,train,0.66254556,19.15894494025902
UKL22,Cardiff and Vale of Glamorgan,5364.097717529403,2014,UK,41.31958032883247,0.7702987996248408,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.4395604395604395,train,0.66254556,35.539592356735824
UKL22,Cardiff and Vale of Glamorgan,9543.595741939756,2015,UK,74.2726057329514,0.7782455139686726,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.3428179636612958,train,0.7112617,67.8799381955606
UKL22,Cardiff and Vale of Glamorgan,11630.79190706653,2016,UK,105.4744457329514,0.9068552388841916,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.3676470588235294,train,0.7112617,82.72536443969653
UKL22,Cardiff and Vale of Glamorgan,12445.34457706653,2017,UK,115.6060857329514,0.92891028462147,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.3540305010893246,train,0.7112617,88.51896534146636
UKL22,Cardiff and Vale of Glamorgan,12668.58902706653,2018,UK,116.8594657329514,0.922434735891111,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.4338394793926247,train,0.66254556,83.9351767000119
UKL22,Cardiff and Vale of Glamorgan,13024.98032544212,2019,UK,117.7810557329514,0.9042705078247668,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.3627569528415961,train,0.7112617,92.64169222969429
UKL22,Cardiff and Vale of Glamorgan,13421.966133009471,2020,UK,127.4337657329514,0.9494418661923582,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.6348459910651305,train,0.757817,101.71394011039827
UKL22,Cardiff and Vale of Glamorgan,13967.18983814418,2021,UK,128.6268357329514,0.9209213680311948,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.6369426751592357,test,0.7557476,105.55670114270966
UKL22,Cardiff and Vale of Glamorgan,14995.53681814418,2022,UK,131.55018573295138,0.8772622636208616,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.53351117039013,test,0.6122632,91.81215286265959
UKL22,Cardiff and Vale of Glamorgan,16750.745028144178,2023,UK,137.00324573295137,0.817893445949789,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,,test,0.77796954,130.3156967103031
UKF14,Nottingham,79.78610239266125,2010,UK,0.3727578367657722,0.4671964484883254,0.0187709831220579,0.0024031715919124,0.0008395254984962,0.0204766967350417,0.0,0.0038343820528485,0.0008395254984962,0.028379683683435,0.0016420238852347,0.3708281829419036,train,0.2687654,0.21443743662769263
UKF14,Nottingham,993.6314671996508,2011,UK,6.234953240884694,0.627491524443831,0.0187709831220579,0.0024031715919124,0.0008395254984962,0.0204766967350417,0.0,0.0038343820528485,0.0008395254984962,0.028379683683435,0.0016420238852347,0.3178386968613428,train,0.2858469,2.8402645447650294
UKF14,Nottingham,1778.962003071035,2012,UK,11.009873510297307,0.6188931237030854,0.0187709831220579,0.0024031715919124,0.0008395254984962,0.0204766967350417,0.0,0.0038343820528485,0.0008395254984962,0.028379683683435,0.0016420238852347,0.3022289384208538,train,0.2858469,5.085107376930115
